Sr.No,HolderAddress,Balance
80,0x8f0284f542896e76185d73f23dfb616527af4dc8,"7,605.6338028169"
81,0xc745eb340f13d0a7c07557dd692e9424f9499f59,"7,408"
82,0x444d8f357f33c55796e3a458354cf063930cba4e,"7,309.89115762653"
83,0xf636e11adbaf692d860acb755f633a691079cead,"7,274.78071226903"
84,0x42ca5594891946222571db10d9a456424db2e188,"7,160.75747972618"
85,0x5863878063b862166b7bfe17dc3eb8a15852fb45,"7,134.17077597427"
86,0x98902c320563b2e645e2aa4e6e64b4213a0da1ae,"7,112.90322580645"
87,0x2a3f119869b13f90ff685aedf2ae3a1251e26a49,"7,105.263158"
88,0xc26b30b8001537391d385c4418c40218c8e4d4ea,"7,105.263158"
89,0xcb59925c8c9a0661757f25dd534c5ea08c24ded1,"6,846.29060015901"
90,0xcbdf74351c3b19ebcbcd6f79934f60f7c2f6462e,"6,705.58779788249"
91,0xa9de2ce6a68beb98e8fd686b7623c0ae284f96c2,"6,456"
92,0xf0e3caed3755166793d9865ca3d6153dc5c92ec5,"6,354.74436515409"
93,0x00bba4e30fe56326a7516e908965c92d0eae0d6f,"6,225.32366008303"
94,0xb367b62a15bb6b252ac8098108b10710e3af8db0,"6,216.85185575442"
95,0xeabfadf9724a8a8dd81732925f409d659b837eff,"6,113.49038968839"
96,0xe896ee0225fbabb1e1b83bc7651a1dfb2df49002,"6,096.77419354839"
97,0xb704f23dbbbd59153be19edd084c7edad10b65e1,"6,074.81881733846"
98,0xbb6e80e73cd0f2a79ca9aba4d528f0ede1a70d86,"6,026.9309"
99,0xafeebfa77f021ab90d4895c37f590a895d816cc9,"5,942.80340063173"
100,0x52031420541ae92622745a9417b11e73fb470be9,"5,901.26249726337"
